,total_utility_bill,commission,sex,age,car,marital_status,child,citizenthip
0,16.39,2.09,0,0,1,0,2,2
1,11.38,7.53,0,1,0,0,0,2
2,17.96,2.63,1,1,1,0,3,0
3,3.23,8.55,0,0,1,1,2,0
4,23.62,4.93,1,1,1,0,3,2
5,25.7,6.83,1,1,1,0,0,1
6,19.8,8.03,1,1,1,0,2,3
7,25.43,7.55,0,0,1,1,3,0
8,30.78,8.05,0,1,0,1,2,3
9,2.98,5.03,0,0,0,1,3,3
10,6.42,5.74,1,1,1,1,3,0
11,24.34,3.59,0,1,0,1,1,3
12,31.52,1.14,1,1,1,1,3,1
13,12.3,8.77,1,1,1,0,0,2
14,4.98,3.67,1,0,1,0,1,3
15,47.36,5.65,1,0,0,0,2,2
16,42.99,7.18,0,0,1,0,3,3
17,11.91,1.63,1,1,0,1,0,0
18,11.75,5.93,0,0,1,1,2,3
19,21.63,1.24,1,0,1,1,0,1
20,40.81,1.32,0,1,0,1,0,2
21,21.03,3.83,1,0,1,1,2,3
22,28.65,9.63,0,0,0,1,3,0
23,5.21,1.0,0,0,1,1,1,2
24,36.39,1.11,0,0,1,0,1,2
25,25.57,6.83,0,0,1,0,2,0
26,27.15,2.13,0,1,1,1,0,2
27,49.73,2.06,1,1,0,0,3,3
28,25.17,9.48,1,1,0,1,3,0
29,32.85,4.13,1,1,0,0,0,0
30,34.67,2.54,0,1,0,1,3,3
31,8.85,9.11,1,0,0,1,0,0
32,46.23,5.23,0,1,0,1,3,2
33,46.82,4.58,0,1,1,1,2,1
34,20.02,2.36,0,0,0,0,3,2
35,20.78,4.19,0,0,0,1,3,0
36,34.9,6.07,0,0,1,1,3,3
37,10.13,2.21,1,0,0,1,0,0
38,1.17,2.02,0,0,1,0,0,1
39,37.5,2.65,0,0,0,0,0,0
40,30.03,7.74,1,0,0,1,0,0
41,46.12,7.71,1,0,0,0,3,2
42,9.44,2.41,1,0,1,0,1,0
43,16.25,4.52,1,0,0,0,1,3
44,20.86,1.15,0,1,0,0,1,0
45,34.64,4.83,1,0,0,1,1,3
46,33.59,9.87,1,1,0,1,1,2
47,49.99,9.16,1,0,0,0,1,1
48,5.09,5.91,0,0,0,0,1,0
49,10.12,2.26,0,0,1,0,2,2
50,5.78,8.06,1,0,1,1,3,2
51,19.85,6.15,1,1,1,1,1,0
52,26.16,2.5,1,0,0,1,0,1
53,21.96,4.63,1,1,0,0,2,2
54,48.39,4.14,0,1,0,0,2,3
55,9.22,7.22,0,0,1,1,1,1
56,28.19,6.14,0,1,1,0,0,3
57,23.59,1.82,1,1,1,1,3,0
58,4.84,6.32,0,1,0,0,3,2
59,32.03,2.52,1,1,1,0,2,0
60,8.52,8.78,1,0,0,1,3,3
61,35.23,6.56,0,1,0,1,3,1
62,9.94,7.03,0,1,0,0,1,1
63,7.24,9.87,1,0,0,0,0,2
64,18.03,3.84,0,0,1,1,0,0
65,22.99,5.81,0,0,0,0,1,3
66,31.32,9.19,0,1,0,1,0,0
67,12.71,5.18,0,0,1,1,1,1
68,30.59,3.31,1,0,0,1,2,3
69,6.27,3.2,1,1,1,0,1,0
70,36.02,4.4,0,0,1,0,1,3
71,11.89,8.93,0,1,1,0,0,3
72,27.91,7.34,0,0,1,1,2,3
73,12.39,8.43,1,1,1,1,2,1
74,36.21,2.06,1,0,1,0,0,3
75,36.97,7.48,1,1,0,0,1,2
76,20.57,7.35,1,0,0,0,0,2
77,39.78,8.73,0,1,1,0,3,3
78,28.25,2.1,0,1,0,1,3,3
79,36.83,7.29,0,0,0,1,0,0
80,47.59,2.62,0,1,0,1,1,3
81,23.65,1.2,1,1,1,1,3,2
82,45.53,9.64,0,0,1,0,3,3
83,32.62,2.71,0,0,0,1,3,2
84,21.18,7.93,1,1,0,1,0,2
85,43.44,1.8,0,0,0,1,2,2
86,28.76,8.36,0,0,0,0,2,0
87,40.55,4.37,1,1,0,0,1,1
88,23.37,1.86,1,1,1,1,1,3
89,25.96,8.13,1,1,1,0,1,2
90,24.95,4.45,0,0,1,1,0,0
91,1.61,9.5,1,1,1,0,1,0
92,14.4,2.02,1,0,1,1,2,0
93,2.21,7.84,1,1,0,0,0,0
94,26.19,2.89,0,1,1,1,3,1
95,7.08,5.5,1,1,0,0,2,1
96,45.81,2.36,0,1,1,0,3,3
97,26.07,4.93,1,1,0,1,2,3
98,5.05,9.2,0,1,1,0,1,0
99,19.58,4.38,0,1,0,0,3,1
100,21.23,2.65,1,1,1,1,2,1
101,28.34,6.36,0,1,1,1,0,0
102,14.96,5.8,0,1,1,0,3,0
103,24.34,7.68,1,0,0,1,2,3
104,2.9,8.76,0,0,1,1,2,3
105,11.37,7.26,1,1,1,0,0,3
106,11.0,1.42,1,0,0,1,1,0
107,5.6,1.02,1,1,0,0,2,3
108,7.13,7.44,1,0,0,1,2,2
109,20.62,5.67,1,1,1,1,0,0
110,36.47,9.18,0,1,0,0,2,0
111,22.61,5.68,0,0,0,1,1,0
112,42.99,6.71,0,0,0,1,1,2
113,7.95,4.18,0,0,1,1,2,2
114,25.6,6.05,0,1,0,1,1,1
115,28.28,8.19,0,1,1,1,0,0
116,23.32,2.69,1,1,0,0,2,2
117,46.33,4.77,0,0,1,0,1,2
118,41.65,9.51,1,1,0,0,1,3
119,2.95,4.01,1,1,1,0,2,1
120,15.48,5.14,0,0,0,0,1,1
121,18.67,3.53,0,0,0,1,3,0
122,41.32,5.59,1,1,0,1,3,0
123,20.65,2.29,1,1,1,0,3,2
124,39.23,4.36,0,0,0,1,3,0
125,6.61,9.29,1,1,1,0,2,2
126,33.23,8.05,1,1,0,0,2,3
127,27.62,5.18,0,0,1,0,3,2
128,38.26,7.26,0,0,0,1,0,0
129,48.58,9.4,0,0,1,1,0,3
130,46.79,5.28,1,0,1,1,0,0
131,7.74,3.79,1,0,1,0,1,3
132,30.35,6.71,1,1,0,0,3,1
133,8.81,9.03,1,1,1,1,1,2
134,22.35,1.86,1,1,0,0,3,0
135,19.64,7.11,0,1,0,1,2,3
136,37.55,5.12,1,1,0,1,2,3
137,6.78,9.36,0,0,1,1,2,3
138,25.18,6.37,1,0,1,1,1,2
139,37.27,8.39,0,0,0,1,3,0
140,30.13,8.87,0,0,0,1,0,3
141,38.0,3.12,0,0,1,0,2,3
142,48.0,2.14,1,0,0,0,0,0
143,24.62,3.53,0,0,1,1,2,1
144,12.99,3.66,0,1,0,1,0,0
145,7.6,4.13,0,0,0,0,1,2
146,48.32,7.41,0,0,1,0,1,2
147,38.72,4.33,0,0,1,1,3,0
148,17.39,9.33,0,1,1,1,3,2
149,2.34,5.19,1,0,0,1,2,1
150,21.04,6.32,1,0,0,1,2,0
151,16.3,7.98,1,0,0,0,1,3
152,43.0,2.29,0,0,0,0,2,3
153,28.05,6.17,1,0,0,1,3,0
154,41.68,5.1,1,1,0,0,1,3
155,37.91,1.2,0,1,1,1,1,3
156,18.28,1.82,0,0,0,1,0,1
157,47.58,8.61,0,0,0,1,2,2
158,34.51,8.07,1,0,0,1,2,0
159,36.55,3.2,1,1,1,0,3,3
160,5.53,7.04,1,0,0,0,0,1
161,3.67,9.82,1,1,1,1,2,2
162,33.2,8.23,1,1,1,0,1,2
163,47.25,7.93,0,1,1,0,1,3
164,5.49,5.46,0,1,1,1,0,1
165,22.93,6.75,1,1,1,1,0,0
166,23.53,3.43,0,0,0,1,1,3
167,47.86,6.85,1,1,1,1,1,1
168,45.51,7.33,0,0,0,0,0,0
169,37.22,6.21,1,0,0,0,1,0
170,20.58,8.64,0,1,1,0,3,3
171,16.22,3.22,0,1,1,0,0,2
172,22.48,1.01,0,0,1,1,0,1
173,12.49,4.44,1,1,1,1,0,1
174,45.12,9.07,0,0,0,0,0,2
175,3.68,5.12,0,0,1,0,2,1
176,9.99,2.58,1,1,0,0,3,1
177,22.28,7.1,0,1,0,0,2,3
178,25.7,8.27,0,1,0,1,2,2
179,16.07,8.51,1,0,0,1,2,0
180,30.9,7.97,0,0,0,1,1,2
181,9.64,5.7,1,1,1,1,1,2
182,3.18,7.09,0,0,1,0,1,3
183,1.41,4.73,1,0,1,0,0,3
184,40.33,4.47,1,0,1,1,0,0
185,10.38,3.17,1,0,0,0,0,0
186,27.45,4.15,1,0,1,1,2,1
187,7.17,3.65,1,0,1,1,2,2
188,27.46,9.57,1,0,0,1,2,3
189,13.97,6.48,1,0,1,0,3,1
190,27.02,6.25,0,0,0,0,2,3
191,11.93,3.06,1,1,1,1,2,0
192,31.63,1.98,0,0,1,1,1,0
193,46.41,5.36,1,1,1,1,3,1
194,23.77,2.34,0,1,1,0,1,2
195,16.03,6.42,0,0,0,1,1,1
196,10.76,2.78,1,0,1,1,2,0
197,45.09,3.73,0,0,1,1,3,2
198,28.44,5.42,0,0,1,0,2,3
199,4.95,8.93,1,1,1,0,0,0
200,48.25,6.43,1,0,1,0,0,1
201,28.54,8.4,0,0,0,1,3,0
202,37.86,2.72,0,1,1,1,0,3
203,38.06,5.14,0,0,0,0,3,2
204,20.98,4.61,1,0,1,0,0,0
205,6.58,1.42,1,0,1,0,2,1
206,22.0,3.42,0,0,1,0,0,3
207,7.22,7.01,1,0,0,0,1,1
208,8.15,3.72,1,0,0,1,0,2
209,45.19,7.87,0,0,0,0,2,3
210,39.66,5.59,1,1,0,0,3,2
211,13.45,2.15,1,0,0,0,0,3
212,30.34,7.48,1,1,1,0,2,3
213,44.81,2.57,0,0,0,1,3,1
214,30.73,4.1,0,1,1,1,0,0
215,40.94,1.38,0,0,1,1,1,3
216,49.81,2.46,0,1,0,1,3,3
217,15.17,1.21,0,0,1,0,1,1
218,8.43,2.52,0,0,0,0,2,2
219,5.94,5.17,0,0,1,1,1,3
220,22.48,2.99,1,1,1,1,1,3
221,16.87,2.38,1,1,1,0,1,0
222,33.25,6.7,1,1,1,0,2,2
223,31.82,6.13,0,0,0,0,1,3
224,3.78,2.7,0,0,0,1,3,0
225,17.11,8.62,0,0,0,1,2,1
226,42.58,2.4,1,0,0,1,3,1
227,4.31,1.36,0,1,1,0,3,0
228,39.22,8.6,0,1,1,1,0,1
229,37.75,1.73,0,1,1,0,2,0
230,46.03,2.78,0,0,1,1,0,0
231,42.37,8.88,0,0,0,0,2,3
232,1.44,8.09,1,1,0,1,0,0
233,17.18,9.02,1,1,1,1,2,2
234,34.61,4.03,0,0,1,1,3,2
235,5.84,3.02,1,1,1,0,0,0
236,5.76,2.41,1,0,0,0,3,2
237,25.58,8.97,0,1,1,0,3,3
238,39.93,1.63,1,0,1,0,1,0
239,29.85,2.59,1,0,1,1,2,3
240,49.54,3.3,1,0,0,1,2,2
241,30.13,2.19,0,0,0,0,3,2
242,40.44,4.86,1,0,0,1,0,1
243,32.7,9.34,1,0,1,1,3,2
244,46.68,3.64,1,0,1,1,3,3
245,14.2,4.33,1,1,1,0,3,1
246,4.37,9.63,1,0,0,0,1,0
247,47.05,1.87,1,1,1,1,1,3
248,22.1,1.69,0,0,1,1,1,0
249,41.84,3.89,1,0,1,0,2,0
250,48.95,2.53,1,0,1,0,3,2
251,32.62,6.34,0,1,1,0,2,0
